100 Rifles,,
101 Reykjavik,,
Salo,,
"Murder, She Said",Le crime est notre affaire,,
48 Shades,,
491,,
50 Ways of Saying Fabulous,,
The Ambassador,52 Pick-Up,,
633 Squadron,,
The Alphabet Murders,The A.B.C. Murders,,
The Accidental Tourist,,
Across 110th Street,,
Adam Resurrected,,
Paper Moon,,
Green Tea,,
Adolphe,,
The Adventurers,,
Alatriste,,
The Adventures of Hajji Baba,,
Huck and Tom,Huckleberry Finn,Huckleberry Finn,Huck Finn,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,Huckleberry Finn,Hopelessly Lost,Huckleberry Finn,The Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,The Adventures of Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,The Adventures of Huck Finn,Tom and Huck,Tomato Sawyer and Huckleberry Larry's Big River Rescue,,
The Adventures of Pinocchio,Pinocchio,Pinocchio,The Adventures of Buratino,Pinocchio in Outer Space,Pinocchio,Pinocchio,The Adventures of Buratino,Pinocchio,The Adventures of Pinocchio,Pinocchio and the Emperor of the Night,964 Pinocchio,Pinocchio,Pinocchio's Revenge,The Adventures of Pinocchio,Geppetto,A.I. Artificial Intelligence,A Tree of Palme,Pinocchio,Pinocchio 3000,Pinocchio,Pistachio - The Little Boy That Woodn't,,
Adventures of Sherlock Holmes," or, Held for Ransom",The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes and Dr. Watson,Sheerluck Holmes and the Golden Ruler,,
Tom Sawyer,Tom Sawyer,Huck and Tom,Tom Sawyer,Huckleberry Finn,The Adventures of Tom Sawyer,Tom Sawyer,The Adventures of Mark Twain,Tom Sawyer,Huckleberry Finn,Tom Sawyer,Huckleberry Finn,Tom Sawyer,The Adventures of Mark Twain,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,Tom and Huck,Tom Sawyer,,
Advise and Consent,,
Aelita,,
The African Queen,,
"After Dark, My Sweet",,
Carlito's Way 1993,,
Murder at the Gallop,,
Goodbye Again,Jahan Tum Le Chalo,,
Airborn,,
Alice Adams,Alice Adams,,
Allan Quatermain and the Lost City of Gold,,
All Fall Down,,
All the Rivers Run,,
Hanyut,Almayer's Folly,,
Altered States,,
Always Another Dawn,,
Always Outnumbered,,
An American Dream,,
Americanese,,
American Splendor,,
A Place in the Sun,,
The Americanization of Emily,,
Intervista,Amerika,,
El Amor infiel,,
The Young Rajah,,
Amu,,
Anatomy of a Murder,,
And Now Tomorrow,,
The Anderson Tapes,,
The Andromeda Nebula,,
Angel 2007,,
Angel Square,,
Angels and Demons,,
Anglo-Saxon Attitudes,,
The Angry Hills,,
The Goalkeeper's Fear of the Penalty,,
Animal Farm,Animal Farm,,
Anna to the Infinite Power,,
Anne of Avonlea,Anne of Avonlea,,
Anne of Green Gables,Anne of Green Gables,Anne of Windy Poplars,Anne of Green Gables,Anne of Green Gables,Anne of Avonlea,Anne of Green Gables,Anne of Avonlea,Anne of Green Gables: The Continuing Story,Anne of Green Gables: A New Beginning,,
The Year of the Jellyfish,,
Masada,,
Anthony Adverse,,
Antikiller,,
Antonieta,,
Duel at Diablo,,
Apartment for Peggy,,
The Apocalypse Watch,,
The Apple Dumpling Gang,The Apple Dumpling Gang Rides Again,Tales from the Apple Dumpling Gang,,
Appointment with Death,,
Appointment with Venus,,
The Apprenticeship of Duddy Kravitz,,
Buck Rogers,Buck Rogers in the 25th Century,,
The Army of Shadows,,
The Man from Dakota,,
Arrowsmith 1931,,
El Asalto,,
Elevator to the Gallows,,
Ask the Dust,,
The Asphalt Jungle,The Badlanders,,
The Assassination Bureau,,
Gervaise,,
Assunta Spina,Assunta Spina,Assunta Spina,Assunta Spina,,
First Spaceship on Venus,,
Asylum 2005,,
Atlantis,,
Audrey Rose,,
The Auction Block,The Auction Block,,
Avalon High,,
The Aviator 1985,,
Away All Boats,,
Le Couperet,,
Ayat-Ayat Cinta,,
Baby Love,,
Back Street,Back Street,Back Street,,
Back When We Were Grownups,,
Background to Danger,,
Bad Girl 1931,,
The Bad Seed,The Bad Seed,The Bad Seed,,
Baise-moi,,
The Bait,,
Cat Ballou,,
The Flim-Flam Man,,
Balzac and the Little Chinese Seamstress,,
Band of Angels,,
Bank Shot,,
Third Man on the Mountain,,
The Barefoot Mailman,,
Bastard Out of Carolina,,
Battle Cry,,
The Battle of the Villa Fiorita,,
Battle Royale,Battle Royale II: Requiem,,
A Patch of Blue,,
The Beach,,
Beaches,,
The Young Warriors,,
La Bestia debe morir,The Beast Must Die,,
The Beast Within,,
Beat the Devil,,
Beau Brocade,,
Beau Geste,Beau Hunks,Beau Geste,Beau Geste,Follow That Camel,The Last Remake of Beau Geste,Beau Geste,,
Bedelia,,
The Public Enemy,,
Behind That Curtain,,
Being There,,
Bel Ami,The Private Affairs of Bel Ami,Bel Ami,Bel Ami,,
Belle de Jour,,
Belli Moda,,
Bellman and True,The Real McCoy,,
"Belphegor, Phantom of the Louvre",,
Son of Fury: The Story of Benjamin Blake,Treasure of the Golden Condor,,
Gasoline,,
Berlin - Alexanderplatz,Berlin Alexanderplatz,,
La bestia nel cuore,,
Die Bestie im Menschen,La Bete Humaine,Human Desire,La Bestia humana,Cruel Train,,
The Betsy,,
Beyond the Forest,,
Beyond This Place,Beyond This Place,Kala Pani,Web of Evidence,Poola Rangadu,,
The BFG,,
Somewhere in Time,,
Bidaya wa Nihaya,,
The Big Clock,No Way Out,,
The Big Fisherman,,
The Big Heat,,
Big Red,,
Biggles: Adventures in Time,It Couldn't Happen Here,,
Billion Dollar Brain,,
Billy Liar,,
Birdy,,
The Bishop's Wife,,
Biruma no tategoto,Biruma no tatekoto,,
The Biscuit Eater,The Biscuit Eater,,
The Bitch,,
The Bitter Tea of General Yen,,
The Leopard Man,,
Black Angel,,
The Black Arrow,The Black Arrow,The Black Arrow,Black Arrow,Chyornaya strela,The Black Arrow,,
Black Beauty,Black Beauty,Black Beauty,Courage of Black Beauty,Black Beauty,Black Beauty,Black Beauty,Black Beauty,,
The Black Camel,,
Street of Chance,,
Black Narcissus,,
The Chase,,
The Black Rose,,
Black Sunday,,
Blackboard Jungle,,
Blackbeard's Ghost,,
The Reckless Moment,The Deep End,,
Blaze of Noon,,
Bleak House,Bleak House,Bleak House,Bleak House,Bleak House,Bleak House,,
Bless the Beasts and Children,,
Count Your Blessings,,
Blood and Chocolate,,
The Blood Oranges,,
Blue Fin,,
Blueprint,,
Invasion of the Body Snatchers,Invasion of the Body Snatchers,Body Snatchers,The Invasion,Invasion of the Pod People,,
Bombaiyer Bombete,,
Bonjour Tristesse,,
Boogiepop and Others,,
Daniel,,
Man of the West,,
The Border Legion,The Last Round-Up,,
Bordertown,,
The Borrowers,The Borrowers,The Borrower Arrietty,,
The Bostonians,,
Boy on a Dolphin,,
The Bravados,,
The Brave Bulls,,
Lonely Are the Brave,,
The Brave Little Toaster,The Brave Little Toaster Goes to Mars,The Brave Little Toaster to the Rescue,,
Brave New World,Brave New World,Brave New World,,
Breakfast on Pluto,,
Breakfast with Scot,,
Breakheart Pass,,
Smith!,,
The Bridges at Toko-Ri,,
Brighton Rock,Brighton Rock,,
Elling,Mors Elling,Elsk meg i morgen,,
Behind the Sun,,
Brothers in Law,,
The Brothers Karamazov,The Brothers Karamazov,,
Brown's Requiem,,
Mister Buddwing,,
Buffalo Girls,,
Bump in the Night,,
Burglar,,
Don Juan 1926,,
The Burning Hills,,
,
Mountains of the Moon,,
The Busy Body,,
Gentlemen Marry Brunettes,,
The Adventures of Bullwhip Griffin,,
The Caine Mutiny,The Caine Mutiny Court-Martial,The Caine Mutiny Court-Martial,,
